id,tweets_en,searchQuery,Sentiment
1720266274700403081,"French Defense Minister Sebastien Lecornu said the ship sent to Gaza could be converted into a ""Hospital Ship"".

In addition, France, which is also one of the 140 countries supporting the ceasefire, has sent medical aid to the Gaza Strip before.",Gaza,neutral
1719276638695792776,"He tweeted this mocking kids in Gaza, and now God took your life. Rest in piss you cunt.",Gaza,negative
1720042989756486027,"“Innocent Palestinian civilians” in Gaza celebrating Hamas' massacre on October 7th. 

For some reason I haven't seen such celebrations there during the past few days... What could possibly be the reason?🤔",Gaza,negative
1719822081439711680,"Let's Not Be Blind to Palestinian Suffering 🕊️

The massacre in Khan Yunis, #Gaza, reveals a devastating truth - children are its first victims. Can the government not see the suffering of Palestinians and they are humans too, and their pain is just as real?

Let's open our hearts and minds to the plight of innocent lives in #Palestine. Together, we can help end the suffering and work towards a brighter, more peaceful future.

🙏 #StandWithPalestine #HumanityForGaza",Gaza,negative
1720024940445856083,"Gaza: Attacks on hospitals & schools have taken a devastating toll on children.

@UNICEF calls for an immediate humanitarian ceasefire and for unrestricted humanitarian access to allow aid to reach children & families. unicef.org/emergencies/child…",Gaza,negative
1718490503384289334,"this is so toothless. journalists are being killed in Gaza. you are a nobel peace prize awardee. the journalists stood up for you then, you stand up for them now.

you either stand w genocide or you stand w palestine. let's hold the line. it's our name.",Gaza,negative
1720318740632629287,@SecBlinken that is NOT Gaza. “Pause” will not work,Gaza,negative
1719314479836500454,"“They killed one, and a thousand will come in his place... and we raise him to free her, not to live...”

#Gaza
#Gaza_under_attack",Gaza,negative
1720095952340721751,"🚨🇮🇱 Israel has now dropped the equivalent of TWO NUCLEAR BOMBS on Gaza.

All the while, the “international community” is SILENT!",Gaza,negative
1720118170072109492,"“What I realized is that we are so alone.”

Our colleague shares her message from Gaza.

UNICEF is calling for an immediate humanitarian ceasefire, unrestricted humanitarian access and immediate and safe release of all abducted children.",Gaza,neutral
1720178933130305654,"The reactionary press wanted to make it believe that the government was blocking aid to the population of #Acapulco. Like #Israel in #Gaza, then.
But nothing to do with it: #4T is humanist, not Nazi like @netanyahu.",Gaza,negative
1720318740162896152,"The continues Genocide in Gaza city doesn't come to its end even soon, rather escalates while #Israel ignoring all calls for ceasefire! 

For those innocent children, raise your voice ENOUGH, STOP BLOODSHED! 

#Trump #CeasefireForGazaNOW #Zionist #GazaGenocide #PALESTINE #Islam",Gaza,negative
1717877445007716401,"“Tell me that you're still alive, Mom!”
A Palestinian #child cries for her mother, who was martyred in the ongoing #Israeli occupation airstrikes on Gaza strip.

“Say that you are alive!” A Palestinian little girl cries for her mother, who was martyred in the ongoing Israeli occupation air strikes on the Gaza Strip.

#Gaza_under_attack
#Palestine
#Israeliwarcrimes",Gaza,negative
1717944784315117647,"A couple of hours ago, all internet and cell phone communications were suddenly cut in Gaza. No one can be reached. This coincided with what some people (w/ sat phones) are saying is some of the heaviest bombardment yet. The killing and destruction will now happen in the dark.",Gaza,negative
1720156160144146585,"After watching the raw footage of Hamas´s 7th October terrorist attack, including the constant cries of ""Allahu Akbar"" (not least while cutting a young man's head off with a shovel) I'm not sure I ever want to hear those words screamed on British streets ever again.",Hamas,negative
1719928435986842004,"Calls for murder, glorification of jihad, threats of attacks.... The apology for terrorism is reaching its peak in France.

Thank you @JLMelenchon and LFI for breaking national unity on such a sensitive subject after the Hamas terrorist attack.
😡
lefigaro.fr/actualite-france…",Hamas,negative
1720219209630662728,🚨🇮🇱 Ben Shapiro believes this Palestinian child is a “Hamas terrorist!”,Hamas,negative
1719879476312469544,"🇰🇵🇮🇱 Kim Jong in has reportedly instructed North Korean government officials to provide support to Palestine, including potential weapons shipments to Hamas.

🚨 North Korea does NOT recognize a state of Israel.",Hamas,negative
1720318747708146030,"If Taiwan invaded China and slaughtered 1400 people (1000 civilians) of all ages and took hostages, China’s response wouldn’t be anywhere near as restrained as Israel is right now after Hamas’ October 7th Massacre.

#FreeGazaFromHamas",Hamas,negative
1720244608486064391,The same group that defends Hamas also silently celebrated (some not so much) the invasion of Ukraine. They are collaborators.,Hamas,negative
1720104826304962889,"Hamas does not want to defend Palestine, it wants to destroy Israel. Hamas is not fighting for a land, even less for a people, it wants to establish the Islamic caliphate.

Hamas is not a national liberation movement! Not a revolutionary league! Not a group of resistance fighters! But an Islamic group, a jihadist militia aimed at the eradication of Jews from Israel and the fall of the Western world, they call the Crusaders.",Hamas,negative
1720295899052597358,"Young women in New York City taking down posters of Israeli civilians kidnapped by Hamas.

The woman recording is having none of it 

🇺🇸🇮🇱",Hamas,negative
1720156814426202178,"⚡️Unique footage of a Hamas man running up to a moving 🇮🇱Merkava Mk4M and placing a demolition charge on it, after which he runs away and an explosion occurs.

After an explosion, a tandem shot from an RPG-7 is added to the tank, which was rolling alone without infantry escort.",Hamas,neutral
1720208392499707960,"💔🇵🇸 Another innocent girl KILLED BY ISRAEL.

🚨🇮🇱 But the media will tell you Israel is just “targeting Hamas.”",Hamas,negative
1719670830483865693,"If you say that you don't understand the moral difference between:

(1) Hamas murdering babies, raping women and killing them, beheading men, and kidnapping hundreds; and

(2) Israel telling civilians to leave, killing Hamas members, and hitting civilians because Hamas keeps them there...

I don't believe you. You understand the difference. You're lying.",Hamas,negative
1720318745204105491,"Hamas and Israel should both be tried for war crimes and such other countries and people, those who don't follow the norms in international warfare should be tried for war crimes otherwise this killing of world population will not stop",Hamas,negative
