fullname,id,likes,quotes,replies,retweets,searchQuery,text,timestamp,username,verified
OH! MEDIA,1720266274700403081,5312,181,70,3453,Gaza,"Menteri Pertahanan Perancis, Sebastien Lecornu mengatakan kapal yang dihantar ke Gaza ini mampu diubah menjadi sebuah ""Kapal Hospital"".

Selain itu, Perancis yang juga merupakan 140 negara menyokong gencatan senjata telah menghantar bantuan perubatan ke Semenanjung Gaza sebelum ini.",2023-11-03T02:26:00.000Z,@ohtweet,TRUE
sham,1719276638695792776,65828,200,158,10163,Gaza,"He tweeted this mocking kids in Gaza, and now God took your life. Rest in piss you cunt.",2023-10-31T08:54:00.000Z,@bitterarab,TRUE
Dr. Eli David,1720042989756486027,2999,92,524,992,Gaza,"“Innocent Palestinian civilians” in Gaza celebrating Hamas' massacre on October 7th. 

For some reason I haven't seen such celebrations there during the past few days... What could possibly be the reason?🤔",2023-11-02T11:39:00.000Z,@DrEliDavid,TRUE
Emelia ᛖᛗᛖᛚᛁᚨ ᛒᛖᚱᚾᚨᛞᛟᛏᛏᛗ,1719822081439711680,8372,302,230,8639,Gaza,"Let's Not Be Blind to Palestinian Suffering 🕊️

The massacre in Khan Yunis, #Gaza, reveals a devastating truth - children are its first victims. Can the government not see the suffering of Palestinians and they are humans too, and their pain is just as real?

Let's open our hearts and minds to the plight of innocent lives in #Palestine. Together, we can help end the suffering and work towards a brighter, more peaceful future.

🙏 #StandWithPalestine #HumanityForGaza",2023-11-01T21:01:00.000Z,@Bernadotte22,TRUE
United Nations,1720024940445856083,6313,347,1221,4360,Gaza,"Gaza: Attacks on hospitals & schools have taken a devastating toll on children.

@UNICEF calls for an immediate humanitarian ceasefire and for unrestricted humanitarian access to allow aid to reach children & families. unicef.org/emergencies/child…",2023-11-02T10:27:00.000Z,@UN,TRUE
Kristel Asilom 🫶,1718490503384289334,7832,46,22,1975,Gaza,"this is so toothless. journalists are being killed in gaza. you are a nobel peace prize awardee. tumindig ang mga journalists para sayo noon, tumindig ka naman para sa kanila ngayon.

you either stand w genocide or you stand w palestine. let’s hold the line. pangilan naman natin.",2023-10-29T04:50:00.000Z,@kristelasilom,TRUE
Achadpeace,1720318740632629287,0,0,0,0,Gaza,@SecBlinken that is NOT Gaza. “Pause” will not work,2023-11-03T05:55:00.000Z,@Achadpeace,FALSE
كويتيون ضد التطبيع 𓂆,1719314479836500454,215,4,2,98,Gaza,"""قتلوا واحد راح يجي مكانه ألف... ونربيه علشان يحررها مش عشان يعيش...""

#Gaza 
#Gaza_under_attack",2023-10-31T11:24:00.000Z,@kuwaitpal48,FALSE
Jackson Hinkle 🇺🇸,1720095952340721751,102171,1956,4235,55339,Gaza,"🚨🇮🇱 Israel has now dropped the equivalent of TWO NUCLEAR BOMBS on Gaza.

All the while, the “international community” is SILENT!",2023-11-02T15:10:00.000Z,@jacksonhinklle,TRUE
UNICEF,1720118170072109492,2382,78,363,1496,Gaza,"“What I realized is that we are so alone.”

Our colleague shares her message from Gaza.

UNICEF is calling for an immediate humanitarian ceasefire, unrestricted humanitarian access and immediate and safe release of all abducted children.",2023-11-02T16:38:00.000Z,@UNICEF,TRUE
Pedro Miguel,1720178933130305654,923,6,17,462,Gaza,"La prensa reaccionaria quiso hacer creer que el gobierno estaba bloqueando la ayuda a la población de #Acapulco. Como #Israel en #Gaza, pues.
Pero nada que ver: la #4T es humanista, no nazi como @netanyahu.",2023-11-02T20:39:00.000Z,@PM_Navegaciones,FALSE
Abraz,1720318740162896152,0,0,0,0,Gaza,"The continues Genocide in Gaza city doesn't come to its end even soon, rather escalates while #Israel ignoring all calls for ceasefire! 

For those innocent children, raise your voice ENOUGH, STOP BLOODSHED! 

#Trump #CeasefireForGazaNOW #Zionist #GazaGenocide #PALESTINE #Islam",2023-11-03T05:55:00.000Z,@iamabraz,FALSE
State of Palestine - MFA 🇵🇸🇵🇸,1717877445007716401,279,14,23,225,Gaza,""" Tell me that you're still alive, Mom! ""
A Palestinian #child cries for her mother, who was martyred in the ongoing #Israeli occupation airstrikes on Gaza strip.

""قولي إنك عايشة يما! ""، فتاة طفلة فلسطينية تبكي والدتها التي استشهدت في قصف طيران الاحتلال الاسرائيلي المتواصل على  قطاع غزة.

#Gaza_under_attack
#Palestine
#Israeliwarcrimes",2023-10-27T12:14:00.000Z,@pmofa,TRUE
Sharif Kouddous شريف عبد القدوس,1717944784315117647,6978,258,182,4412,Gaza,"A couple of hours ago, all internet and cell phone communications were suddenly cut in Gaza. No one can be reached. This coincided with what some people (w/ sat phones) are saying is some of the heaviest bombardment yet. The killing and destruction will now happen in the dark.",2023-10-27T16:42:00.000Z,@sharifkouddous,FALSE
Douglas Murray,1720156160144146585,32371,280,2392,6814,Hamas,"After watching the raw footage of Hamas´s 7th October terrorist attack, including the constant cries of ""Allahu Akbar"" (not least while cutting a young man's head off with a shovel) I'm not sure I ever want to hear those words screamed on British streets ever again.",2023-11-02T19:09:00.000Z,@DouglasKMurray,TRUE
Verlaine,1719928435986842004,85,0,5,58,Hamas,"Appels au meurtre, glorification du djihad, menaces d’attentats.... L’apologie du terrorisme atteint son paroxysme en France.

Merci @JLMelenchon et LFI d'avoir rompu l'unité nationale sur un sujet aussi sensible après l'attaque terroriste du Hamas.
😡
lefigaro.fr/actualite-france…",2023-11-02T04:04:00.000Z,@__Verlaine__,TRUE
Jackson Hinkle 🇺🇸,1720219209630662728,13386,176,873,5636,Hamas,🚨🇮🇱 Ben Shapiro believes this Palestinian child is a “Hamas terrorist!”,2023-11-02T23:19:00.000Z,@jacksonhinklle,TRUE
Jackson Hinkle 🇺🇸,1719879476312469544,93465,3079,2687,26760,Hamas,"🇰🇵🇮🇱 Kim Jong in has reportedly instructed North Korean government officials to provide support to Palestine, including potential weapons shipments to Hamas.

🚨 North Korea does NOT recognize a state of Israel.",2023-11-02T00:49:00.000Z,@jacksonhinklle,TRUE
Magen Judah,1720318747708146030,0,0,0,0,Hamas,"If Taiwan invaded China and slaughtered 1400 people (1000 civilians) of all ages and took hostages, China’s response wouldn’t be anywhere near as restrained as Israel is right now after Hamas’ October 7th Massacre.

#FreeGazaFromHamas",2023-11-03T05:55:00.000Z,@magenjudah,TRUE
Claudio Dantas,1720244608486064391,600,0,33,79,Hamas,A mesma turma que defende o Hamas também comemorou silenciosamente (alguns nem tanto) a invasão da Ucrânia. São colaboracionistas.,2023-11-03T01:00:00.000Z,@claudioedantas,TRUE
